NAME,DINING TIME,RATING,REVIEW
GodeliahW,"Dined on September 18, 2022",5,Disappointed that the tables were so small especially after confirmation on the phone that we would had a 4 person table my husband a ball player two seat table plus all the appetizers no room to really enjoy comfortable
MelissaD,"Dined on September 18, 2022",3,Ordered 3 different kinds of dumplings - not great and definitely not worth $18/plate. Porterhouse steak and 7lb Peking duck were very good. Sides of bacon and broccoli were average. Dessert - red velvet cake and ice cream sampler were good; nothing mind-blowing. Overall decent food but nothing special so would not return.
NasheS,"Dined on September 17, 2022",5,"The lobster was overcooked,  server was overwhelmed and still it was an enjoyable birthday dinner."
OpenTable Diner,"Dined on September 17, 2022",5,"Excellent food and service, Alex served us and was extremely helpful."
OpenTable Diner,"Dined on September 16, 2022",2,"The food has always been excellent. But the wait staff have been very overbearing. My date and I had just been seated and the waiter(Alex) kept pestering us to hurry up and pick something from the menu before we could even decide for ourselves. Then after we picked the chicken and lobster salad (which are huge, no complaints) told us we needed to pick something else because the department of health had been watching the restaurant.. weird. There was a busboy who was watching our table like a hawk. And would rush over to get our plates before we could properly finish our meal. It made her feel uncomfortable so we left without getting dessert. Now she doesn’t want to return. Please speak with them because I love to support black owned businesses. But not to the extent of feeling harassed."
Globaldiner61,"Dined on September 12, 2022",5,Great service and amazing food !
Jamrocker,"Dined on September 12, 2022",4,Great food and service with great food suggestions. It always great to see beautiful people of color  dine out!
OpenTable Diner,"Dined on September 12, 2022",3,I frequently visit Brooklyn Chophouse and usually the service is superb but today the server. Marin A. was horrible to my mother and I. It was my mother’s birthday and he was rude and dismissive . He had an attitude when we asked for something and never checked on our table. Then he brought her birthday cake and walked away. Not once did Marin say happy birthday or gather his colleagues to sing happy birthday. It was my mom’s first time there and she said based on the service she doesn’t wanna come back.
MichelleC,"Dined on September 11, 2022",3,the pork chops I ordered were dry and had a bad aftertaste.  the drinks took awhile to come to our table after being able to quickly sit down outsids. the dumplings were too salty to even take a bite. overall the price of what we ordered wasn't up to par with the quality we were expecting to eat..
RobinH,"Dined on September 11, 2022",5,In town for NYFW
OpenTable Diner,"Dined on September 11, 2022",5,Great vibe  good food
SilvanoV,"Dined on September 9, 2022",3,Ristorante sovrastimato. La cucina non è americana contemporanea bensì Asian Fusion.
GegeF,"Dined on September 5, 2022",5,"I love coming here, such a vibe service was amazing. The food is soooooo good"
Rosemoe,"Dined on September 5, 2022",4,Very cool place to eat you should go there some time
JohnD,"Dined on September 4, 2022",5,"One of the best meals I’ve ever had. Everything was delicious- food and drinks, and our waitress Kianna was outstanding. I’ll be back soon!"
MarioS,"Dined on September 4, 2022",4,The waiter and the food were great. Try not to get a seat in the middle of the floor. The traffic is a bit annoying but overall it was a great experience.
Monique,"Dined on September 2, 2022",4,"Good ambiance, great music. Food was good to share across table and try different things. Parking lots was walking distance. Bathroom was clean, bright and smelled good."
Goodeats,"Dined on September 1, 2022",3,"The waiter was absolutely wonderful, very attentive, and professional. The food was meh, but I will give it another chance. I expected to be wowed based on feedback from others that have dined here, and whose pallets I respect."
ShaquilleD,"Dined on August 30, 2022",5,Best food ever thanks for the service it was great
Dani,"Dined on August 28, 2022",5,"The food choices that the waiter recommended were amazing. However, the restaurant is pricey."
BELLE,"Dined on August 26, 2022",3,"1st the host was so pleasant! Service and food were good. Loved the ambiance. However, I understand everything when up price wise and demands are higher; but if you gonna charge $35 for lobster fried rice and $32 for lobster wonton at least make sure I can taste the damn lobster. don’t get me wrong, the flavor was there in every bite, delicious but too overpriced when you not getting what you are paying for."
ruthiea,"Dined on August 25, 2022",4,I arrived on time for my reservation. Staff and service was great. For starters we had Philly cheesesteak dumplings and salt and pepper lobster Wontons I give it 7/10. Ordered the tomahawk steak 10/10 shrimp fried rice  7/10 garlic broccoli can't really rate it broccoli was fresh . Overall rating 8/10.  I would go back.
OpenTable Diner,"Dined on August 23, 2022",5,"Love the staff at this location, they were very nice and accommodating."
SharonD,"Dined on August 21, 2022",5,"This is an amazing place, loved, loved everything about the place."
OpenTable Diner,"Dined on August 21, 2022",5,It was a awesome way to spend my birthday with family and friends.
Kokuryu07,"Dined on August 21, 2022",5,My fiancé and I loved the food and the atmosphere of the restaurant.  The food was well worth the price. We received more than we both expected. Drinks were also well made. Staff was great. I highly recommend dining at this restaurant.
OpenTable Diner,"Dined on August 20, 2022",2,"The section that we sat in was really nice and semi private. Our waiter was really good. She recommended a drink that was really good. She was very knowledgeable about the food. It was a large party; 7ppl and she was very tentative. The wait was not long; My reservations was for 9pm and by time we sat it was around 9:30pm. Because they close at 11 they had to bring everything out at once which wasn’t an issue for me. The music was good. However, so far 3 people out of 7 became sick from the food, which is why I decided to give 3 stars instead of 5."
DaneishaC,"Dined on August 20, 2022",5,"Amazing food , staff and lovely drinks . The ambiance is incredible . The music was very diverse I appreciated that ."
OpenTable Diner,"Dined on August 20, 2022",5,Excellent service from staff.
OpenTable Diner,"Dined on August 18, 2022",5,"My experience was great at the Brooklyn Chop House. I dined for dinner with a group of friends celebrating a birthday. We had an amazing time. The food was delicious, and the server as well as the front desk was very accommodating. I had a friend running late but asked for champagne toasts ready at the table when we all arrived. We were still able to get seated before our last guest arrived, which I greatly appreciated being that the champagne was already at the table. Overall, my best friend had an amazing birthday dinner and I’m happy I selected this location to help celebrate."
Chanel,"Dined on August 14, 2022",5,What I ordered was very tasteful and flavorful. My waiter was super kind. You will see me again. Thank you for the experience.
OpenTable Diner,"Dined on August 13, 2022",5,Birthday dinner
KolawoleA,"Dined on August 12, 2022",5,Great and quick service. Clean bathrooms and perfect drinks
Natalie,"Dined on August 9, 2022",2,Very disappointed restaurant was hot and we were basically on top of the people next to us
Nadirah,"Dined on August 8, 2022",5,"Amazing service, amazing music , awesome food. Will definitely be back."
Sunflowers2,"Dined on August 6, 2022",4,Glad to celebrate here had an over great experience!
LaShonP,"Dined on August 6, 2022",4,"Great atmosphere, good music & good food. Mac & Cheese & more veggie options on the Sides section of the menu would be great!"
OpenTable Diner,"Dined on August 6, 2022",5,"Great experience, food and vibe. Definitely on the pricey side but the food did not disappoint. Definitely recommended."
MauriceR,"Dined on August 3, 2022",4,I go to steak houses often. The food here is good but overpriced compared to the competition. Service is not a strong point. I was left waiting for refills on cocktails for long periods of time. There are many better options in New York.
Sgtjaybee,"Dined on August 2, 2022",3,Food was alright nothing to cheer about will not be back nothing to brag about overrated
OpenTable Diner,"Dined on August 1, 2022",4,Food was wonderful and the service was 1st Class
TigieB,"Dined on July 31, 2022",5,"Food and Drinks were great, will eat again. The restaurant was terrific."
CharS,"Dined on July 31, 2022",5,Great Food and Great service.
charlesg,"Dined on July 31, 2022",4,Great place to go celebrate for any occasion. Always a pleasure
DeeB,"Dined on July 29, 2022",4,Lamp chops don't taste good. Spoke with 3 other ppl that had the same & the feedback was the same. Everything else was good.
Aiyana,"Dined on July 27, 2022",5,Love it! Perfect spot for date night or business dinner.
OctaviaL,"Dined on July 27, 2022",5,This place was a bit pricey but totally worth it ! I wanted to take a nap after we ate. Everything from the drinks to dessert were phenomenal.
OpenTable Diner,"Dined on July 24, 2022",4,"It was a great experience, it was our first time there. However, it was very humid inside and a bit uncomfortable for the wife. A/C needs to be cranked up a bit."
OpenTable Diner,"Dined on July 24, 2022",5,Food was excellent and the service was even better. Alex was our server and he was amazing! Overall great dining experience.
Elle,"Dined on July 23, 2022",5,I really enjoyed the hospitality and the food was amazing! We even vibed with the people at the next table. Really a beautiful experience celebrating my 51st birthday....blessings to the establishment
ANTHONYR,"Dined on July 23, 2022",4,great atmospher great drinks  food was great extremly busy but live
SatanyaL,"Dined on July 23, 2022",4,Food was too salty & the server did more talking to other people instead of serving.
LenishaS,"Dined on July 23, 2022",5,It was great between the food and the waitress ! Sat down right away and was service immediately
Justin,"Dined on July 19, 2022",4,"Went on a date here. The food is great, the staff was relatively friendly and the vibe is quite sexy. Definitely recommend."
OpenTable Diner,"Dined on July 19, 2022",5,"Everything was excellent from the time we walked up to the restaurant. We were welcomed outside and the gentleman opened the door for us. Once inside the hostess welcomed us and congratulated us for our anniversary. She also asked where would we like to sit and accommodated our wishes. Then the waiter came and welcomed/introduced himself nicely. The food was served and everything tasted great! No complaints, great service and great food! Lastly our waiter surprised us with a delicious slice of cheesecake with a sparkling candle and wished us a Happy Anniversary! Such A Wonderful Experience At The Brooklyn Chop House"
KemiE,"Dined on July 18, 2022",3,"Food was great the host really did try their best to accommodate our group. Please if you have more then 6 people call ahead to reserve one of their rooms, we had a party of 11 and had to set at different tables. But the server and the bartender was WONDERFUL. My cousin really enjoyed her birthday!"
CoreyC,"Dined on July 17, 2022",5,Loved the experience beautiful all around will definitely go again
GabrielP,"Dined on July 17, 2022",5,The food is phenomenal and expensive. The music/noise was ridiculously loud; it was hard to talk/listen. The service was amazing!  I will certainly return & recommend this steakhouse to friends.
OpenTable Diner,"Dined on July 17, 2022",5,"10/10 Loved, will be coming back!"
StevenC,"Dined on July 17, 2022",4,Love the restaurant but I think they need a dress code .
Busty007,"Dined on July 17, 2022",5,It was my very first time we enjoyed everything from the atmosphere to the service to the food. We will return
williamc,"Dined on July 16, 2022",4,"My second time back in a week, I have to say this will be a regular for me. there is parking nearby and they don't over do it with the pricing"
GeorgeL,"Dined on July 14, 2022",5,"This place was phenomenal from top to bottom! The ambiance was great, cocktails were high end and sophisticated, the food was outstanding and the service was 5-star! I'm so glad that they were on OpenTable and would recommend them to anyone looking for a great steak and chop house."
JewelC,"Dined on July 14, 2022",5,Friends visiting
DeeLee,"Dined on July 11, 2022",5,The food And the service was great. All the staff were nice and attentive. Large food portions and everything was prepared the way we asked for it. We will be back and with friends.
Tiee,"Dined on July 11, 2022",5,Food was amazing as usual !! 10/10 recommend this place
JeffreyH,"Dined on July 11, 2022",4,"It was an every day meal, Sunday evening. There was a misunderstanding about the price as it was about 50% more than the menu shown on OpenTable. The staff was super nice and happy to honor the prices that were shown on OpenTable. The staff was excellent. My ribeye steak was like almost 40% fat though. I can only give the food 2 1/2 stars"
NinaS,"Dined on July 11, 2022",5,Great restaurant with amazing food. Service was great. The fusion of Asian food with steak was wonderful. The dumplings were delicious! Will definitely come back here again.
OpenTable Diner,"Dined on July 10, 2022",5,"Great time, great food and the staff was amazing. Alex was on point and made sure we had a good time.  Melodie(sp?) was outstanding. We will be back"
lorenzod,"Dined on July 10, 2022",5,"Food was great. Staff was very attentive, professional, and friendly."
Faro,"Dined on July 10, 2022",3,Good food & atmosphere. I wish the music was louder
OpenTable Diner,"Dined on July 9, 2022",5,Had a great birthday dinner here
OpenTable Diner,"Dined on July 9, 2022",5,Best beef and broccoli I’ve ever had in my life
Toya,"Dined on July 6, 2022",5,"The staff was very friendly and accommodating. The menu is a little overwhelming as there are lots of choices. However, most items can be shared allowing for a great tasting opportunity."
Rosewrinkles,"Dined on July 5, 2022",3,The portion of the food was appetizing but I mean not enough I loved the shrimp estay just wish it was more pieces .. the food was very very salty need lots of water lol other wise they need more drinking options .. and less salt
NicoleS,"Dined on July 3, 2022",3,"This is my second time there, and the waiter was rushy and not very good at his job.  He was overwhelmed and had no patience ."
OpenTable Diner,"Dined on July 3, 2022",5,Always a great vibe and meal.
Brittany,"Dined on July 3, 2022",5,"Order Wild Peach Sangria, you won’t be disappointed. :-)  The food, excellent as well."
DennisW,"Dined on July 2, 2022",4,Always great food & service but the air conditioning was an issue. Uncomfortable the whole night.
OpenTable Diner,"Dined on July 1, 2022",5,My wife and I had a blast! Food was delicious and the energy was amazing. Would go back
Reem,"Dined on July 1, 2022",5,It was a birthday celebration
StaceyM,"Dined on June 30, 2022",2,"After not visiting for a while and having a great dining experience the first few times, I expected the same dining experience. Unfortunately, my partner and I were disappointed as the food portions were smaller and drinks weren’t as exceptional as before."
Lucy,"Dined on June 30, 2022",4,Excellent ambiance and the food was great -a bit pricey. Felt a little rushed at the end specifically to box up the remains. Eating with family so no embarrassment there. Anyway we enjoyed dessert with a bunch of takeaway boxes all over the table.
OpenTable Diner,"Dined on June 28, 2022",5,It was amazing!!!!  Melanie (my apologies if I miss spelled her name) was very accommodating.  Thank you Brooklyn Chop House for making my daughters graduation dinner a success. She has asked to return to the restaurant already.
OpenTable Diner,"Dined on June 27, 2022",3,"The waiter wasn’t personable, we felt rushed and there was a assistant waiter that was over baring."
ALRob,"Dined on June 26, 2022",5,"Love this place. The dumplings are great. I was lucky tome invited here a few years ago when we stayed at an airbnb in Brooklyn, Service is good, make a reservation can be busy."
John,"Dined on June 26, 2022",5,Excellent food friendly staff. A real different type of restaurant. Highly recommend.
OpenTable Diner,"Dined on June 22, 2022",5,It was a Fathers Day date night and we love to try new places !! We ordered food for two which definitely came out food for four lol  We will definitely be returning Especially for the Tropical Punch Frosés
James,"Dined on June 21, 2022",3,"The service was neither prompt nor attentive. It was our anniversary, which I noted when making the reservation, but that wasn’t acknowledged, despite other couples’ being recognized for their anniversaries. One of our side dishes was cold, and no one offered to refill our drinks. For the price, the service better be spot on, and this wasn’t."
TracyB,"Dined on June 21, 2022",3,The food didn’t stand up to all the hype of the name and it wasn’t worth the price I have had better steak at a less expensive price at Shula steakhouse in Miami and Wolfe Gang Pucks steakhouse in time square and Peter lugas in Long Island the steak  Your steak here was tasteless and the appetizers weren’t good we ate the food but I don’t think it was worth 500 dollars for 3 ppl
HiltonS,"Dined on June 21, 2022",5,"Great good, great service. Making this place a favorite on my list."
OpenTable Diner,"Dined on June 20, 2022",5,I always do the 24oz bone in rib eye best steak on the menu pricey but well worth it
foodie4real,"Dined on June 20, 2022",5,"I took my husband here for Father’s Day along with our Daughter and Friends ,it was all of our first time at Brooklyn Chop house…it was a surprise as well. My Husband and I heard about it and had to try it! All I have to say EVERYTHING was better then expected!. We already have plans to come back with our group of friends ,who all never been to BCH and have them experience all the greatness we had. Thank you for the wonderful experience Brooklyn Chop House♥️"
JENNYL,"Dined on June 20, 2022",5,"We ordered the salmon, spicy chicken kung pao & the salt & pepper shrimp, everything was amazing!!!! Salmon was glazed with a sauce & cut into bite sized pieces with peppers & onions, king pao was spicy yet delishhhhh, salt & pepper shrimp was soooooo tasty!!! And if you are ordering the carrot cake beware it’s huge, 3 people can eat from it, it was phenomenal….of course the music was great!!!!"
BritneyS,"Dined on June 19, 2022",5,My family and I had an amazing meal celebrating my dads 70th birthday and Father’s Day! Thank you
Marvelous,"Dined on June 18, 2022",4,This is my second time going. The food was better this time. Probably because it was less crowded. Everything was good. The only thing our waiter seem like he had an attitude but it could of just been a long day for him. We still had a good time overall.
OpenTable Diner,"Dined on June 15, 2022",5,"Great experience. Amazing staff and our waitress Cassandra was great. I truly enjoyed the food, vibes and space."
KimF,"Dined on June 14, 2022",5,"Great food, wonderful service. Loved the menu. The steaks were very good."
MarcoL,"Dined on June 14, 2022",5,"We were a party of 5 with 1 celebrating a Birthday and Brooklyn Chophouse showed out.  From the service, the food, drinks, ambiance, we were thoroughly pleased and already talking about a return trip. 🙌🏽 Thank you everyone staffed yesterday  (6.13.22), your service was all that and more. Thank you."
ChelseaGirl,"Dined on June 13, 2022",5,"I came in because someone gave me a gift card and didn’t have much expectation coming in other than the menu looked good.  I was very pleasantly surprised! Food was great, fun atmosphere and impeccable service. Will definitely be back."
Sherrie,"Dined on June 13, 2022",5,It was my birthday
Jenny,"Dined on June 12, 2022",5,"Everything was amazing! We were seated in a timely fashion. Our server Alex was so sweet and attentive. All the dishes my friends and I tried were great! Our drinks were great too! We tried the glazed ribs, chicken satay, rock shrimp, chicken lettuce wraps Beijing chicken, filet mignon beef and broccoli, spicy 9 shrimp, lobster rice, sorbet, and red velvet cheesecake. We can’t wait to return very soon."
OpenTable Diner,"Dined on June 12, 2022",4,The food was ok ( I had better for less and less and better). Service was A1
JasminH,"Dined on June 12, 2022",5,I had a great time here on a date with my boyfriend. Food was great service was awesome & fast.
OpenTable Diner,"Dined on June 11, 2022",3,Whoever our waiter was wasn’t attentive at all barely came to our table. I give a lot of grace to waitstaff as having been one myself. But my friend and I were ready to run that bill up and have a good time. Instead we stuck to appetizers and finished our dinner elsewhere.  The bus boy however was superb! He was more attentive and friendly than the waiter. Wish our full tip could have went to him.
OpenTable Diner,"Dined on June 8, 2022",5,My birthday
OpenTable Diner,"Dined on June 7, 2022",2,Poor quality food. Shrimp overbattered. Satay coated in something unpleasant. Overall taste v bland.
OpenTable Diner,"Dined on June 6, 2022",5,"Was fast service , great food. Music was a little too low , but overall great experience."
OpenTable Diner,"Dined on June 5, 2022",5,"The reason why every time I’m in town I stop by here, is because their service had a lasting good impression the very first time I had dinner several months ago. I’m sure I will be back in NYC in two months and will definitely stop by and dine here again."
OpenTable Diner,"Dined on June 5, 2022",3,Food and drinks were overly priced.
Ivette,"Dined on June 5, 2022",5,"We dinned outside it was such a beautiful day. Our waiter was amazing, great choice in music as well."
OpenTable Diner,"Dined on June 4, 2022",5,Great experience
OpenTable Diner,"Dined on June 4, 2022",4,Food was good and service was great !
OpenTable Diner,"Dined on June 4, 2022",5,It was lovely
JosephC,"Dined on June 4, 2022",5,Brooklyn Chop House is an exquisite eatery. The diversified menu and generous portions are to die for. I highly recommend the Brooklyn Chop House for date night as the ambience is conducive to intimacy.
OpenTable Diner,"Dined on May 31, 2022",5,It was awesome
BethP,"Dined on May 30, 2022",5,What a truly unique menu. Warm and comfortable setting abs great service!!
OpenTable Diner,"Dined on May 30, 2022",5,Very good I love the mood for the restaurant
LloydG,"Dined on May 30, 2022",4,"My waiter was excellent, food was very tasty. Coconut Mango Martini wasn't as good as it looks....more Mango than Coconut..but it wasn't bad.  All steaks are huge could use a 10 or 12 Oz steak on menu.  I would recommend eating here."
SatinM,"Dined on May 29, 2022",5,All was great except for the salt & pepper lobster. It was over cooked.
OpenTable Diner,"Dined on May 29, 2022",4,Good experience only thing had to wait about 30 mins to be seated because of party size and the amount of traffic they had  food was good and the Long Island where amazing
OpenTable Diner,"Dined on May 29, 2022",4,My food took over a hour to come and people who was seated after me was getting there food first smh.
OpenTable Diner,"Dined on May 29, 2022",3,The food was mediocre.
AshleyF,"Dined on May 28, 2022",4,We had a great experience! The food was tasting and the wait staff were friendly and had great recommendations for food. We will definitely come back again.
RomanR,"Dined on May 25, 2022",1,The greeters were not friendly and the waiter messed up our order. Food was overpriced for the quality and taste. 0/10 would not recommend. The space is going for luxury restaurant but playing club music.
MargaritaC,"Dined on May 24, 2022",3,Everything is great! But the prices are ridiculous:( service was amazing. Drinks were delicious!
OpenTable Diner,"Dined on May 23, 2022",5,Great drinks food and service!  This restaurant has a wide menu selection even for vegans! This place doesn’t disappoint!
Fifi,"Dined on May 23, 2022",4,Tables were to close; Besides that everything was beautiful amazing
DennisW,"Dined on May 23, 2022",5,Excellent all around dinner and experience again. Service was fantastic.
OpenTable Diner,"Dined on May 22, 2022",5,It was amazing. I’ll be back time and time again!
LatoyaW,"Dined on May 22, 2022",5,The food was delicious and the service was great. A little pricey but I believe it’s worth it.
QuintinS,"Dined on May 22, 2022",2,"Best part of the meal was the red velvet cake , the lobster dumplings and the salad. Smallest tomahawk steak I’ve ever had. Steak was cooked correctly but i expected a better quality cut of meat for the price.   Staff and Waiter were both excellent."
LCherry,"Dined on May 22, 2022",5,Great atmosphere. Would go back soon and definitely recommend the crab fried rice
OpenTable Diner,"Dined on May 22, 2022",5,The food was amazing.
DwayneS,"Dined on May 21, 2022",5,Sister Graduation
OpenTable Diner,"Dined on May 21, 2022",5,Absolutely love this restaurant I love the vibes I love the service.
EvelynV,"Dined on May 21, 2022",4,Went there for a date night drinks were really good and food was good it was a little pricey
Disappointed,"Dined on May 20, 2022",5,It was good!
OpenTable Diner,"Dined on May 20, 2022",5,"The food was amazing!!!! Lamb chops, filet mignonette, book choy, and fried rice.  AMAZING!  Just make the reservation, you won’t be disappointed!"
Couldbesel,"Dined on May 19, 2022",5,Alex was amazing! Thank you for taking well care of my friend and I. Will definitely be back soon
Mark,"Dined on May 19, 2022",5,Amazing experience all around. Great service and excellent food.
Dajia,"Dined on May 18, 2022",5,Best time ever! From the hostess to our wonderful waiter! I had the best experience ever & they made my friends birthday amazing
AngieM,"Dined on May 17, 2022",5,Graduation
foodsies,"Dined on May 17, 2022",4,Amazing porterhouse; dumplings is good; overall great food
Makisa,"Dined on May 16, 2022",4,Great place for a date or a night out with friends!
TorianG,"Dined on May 16, 2022",5,Delicious food and great service . Alex was an amazing waiter
ReyOfLight,"Dined on May 14, 2022",5,"Been here a few time and it is a consistently EXCELLENT dining experience. Food is decadently delicious, drinks are good and service is on point. Also love the music which is in alignment with the sexy ambiance."
OpenTable Diner,"Dined on May 13, 2022",5,"Definitely a ⭐️⭐️⭐️⭐️⭐️ restaurant!   Service, food, ambiance is top notch.   Pricier than anticipated, but it’s not an everyday thing, and I’m from CA.   Would definitely come here again!  Great vibe!"
DWilliams,"Dined on May 13, 2022",3,I found the food to be a bit too salty and the drinks a bit too sweet.
TawannaS,"Dined on May 12, 2022",5,Excellent dinner
MinervaR,"Dined on May 12, 2022",1,"To be honest, I'm so disappointed that I have to give this poor review. I took my husband for his Bday yesterday.  The food was oily and bland,  Lamb dumplings crab fried rice and the steak. The drinks were also overprised. I  Was expecting for them to have a good mixologist. Unfortunately, I cannot recommend this place."
OpenTable Diner,"Dined on May 11, 2022",5,"Took my wifey out for Mother’s Day and the food was amazing!  We had the fried filet mignon, chicken fried rice, garlic broccoli, house salad, and the Hennessy XO cheesecake and enjoyed our meal. The drinks were also pretty good. Great amazing vibe with elegant ambiance. Looking forward to going back to enjoy this Asian American Steakhouse!"
OpenTable Diner,"Dined on May 10, 2022",4,Food was solid. Service with the food was ok. We came with a large group that got bigger and they were very accommodating.
OpenTable Diner,"Dined on May 10, 2022",5,Food is delicious
Kristina,"Dined on May 10, 2022",5,Luna was great on her 2nd day.  The manager was very attentive and made every moment right.  Ty is the BEST!  Try the frozen mango drink it was amazing
DarrienM,"Dined on May 9, 2022",5,Mother’s Day
SardiaA,"Dined on May 8, 2022",5,Great customer service and food. I enjoyed myself with my family.
OpenTable Diner,"Dined on May 8, 2022",3,"My husband and I went for Mother’s Day weekend with a reservation the wait was still over an hour security was nice enough to give us somewhere warm to stay due to the cold and rainy weather. Essentially the food is just expensive Chinese food, the restaurant plays great music."
FACE,"Dined on May 8, 2022",5,Mother’s Day Was Amazing
RonaldoD,"Dined on May 7, 2022",1,The food was a big disappointment for the price I paid I felt like the food could of tasted 10x better it taste like they didn’t season the food at all. The food had zero flavor. Also I put it was my girlfriend birthday on the recommendation and nobody came to sing happy birthday my experience at chop house was completely awful.
OpenTable Diner,"Dined on May 7, 2022",5,Amazing service
OpenTable Diner,"Dined on May 7, 2022",5,"Amazing food & Amazing vibes  , can’t wait to return !!!"
OpenTable Diner,"Dined on May 7, 2022",5,One The The Best Places I Eaten At In A Very Long Time ...Much Appreciate How They Service The Community
OpenTable Diner,"Dined on May 7, 2022",5,Great place for dinner while in New York
OpenTable Diner,"Dined on May 2, 2022",5,It was fun & I really enjoyed the food!
SaidahB,"Dined on May 1, 2022",1,"Wish I could give no stars. Sat down and did not receive service for almost an hour. They were clearly short staffed, but it was a nightmare from the beginning. Had a 9:30 reservation, arrived on time and was waiting for a table forever. Needless to say, I will not be returning here again."
OpenTable Diner,"Dined on May 1, 2022",4,Customer service is outstanding. The food was delicious. The drinks were amazing. Had a good experience. My inky complain would be the seats. It was a table for two but the table was very small. Not enough room for big tall people. Other than that everything was good. Definitely will return.
DarionC,"Dined on May 1, 2022",5,"First time here and we had a blast! Celebrated a birthday. The food was great, the drinks were even better! The bill was under $300, very affordable for 2 people. Customer service was literally amazing. Kiana was our waitress and she went above and beyond for us! Overall it was a fantastic dinner. I’d recommend B.C.H. And I’ll definitely be coming back soon!"
OpenTable Diner,"Dined on May 1, 2022",1,"Horrible dining experience. Waiter/Service was horrible, food overpriced and not appetizing. Would not recommend or ever dine there again."
RoshandaH,"Dined on April 30, 2022",5,Worth the trip all the way from Florida. The crab fried rice was the best ever and drinks were sooo well mixed had to order two to see if I could watch the bartender technique. Vibes were nice and definitely will be back
OpenTable Diner,"Dined on April 30, 2022",5,It was great for my birthday experience
Johnny,"Dined on April 29, 2022",3,"The place is very pretty and nice.  Maybe they were just off last night, but we ordered a few things and one of them never showed up by the end of the meal, and when we asked about it, we were told by the manager ""we don't have that tonight"", but the waiter did not know that, so we just waited for nothing.  We had to ask for another glass of wine twice as they forgot.  We ordered ice cream for dessert, and then they came back later to tell us they don't have ice cream that night either, so we waiting for nothing again. Expensive place for what it is, but worth going if you patience for a few things."
RayJ,"Dined on April 29, 2022",3,"We ordered two steaks and a few dishes to share. The steaks were very good; however, the lobster satay was overcooked and the sea bass was fairly average. Part of the order came out incorrectly, but this was quickly remedied. Drinks were also average for the price"
OpenTable Diner,"Dined on April 29, 2022",5,Lychee Frose absolutely delicious ! Steak made to specification!! Excellent service and Great meal! Everyone had an amazing time!
elig,"Dined on April 29, 2022",3,"This relatively new establishment is on its way to being a very excellent place to dine in the downtown area. But as of today the food is barely adequate when compared to the level that the restaurant is catering. The problem is that the food is mediocre. I had some basic dishes that sounded rather interesting, like the cheeseburger and pastrami dumplings, avoid them. The  wonton soup was OK but nothing special. The chicken lettuce wrap, standard in many places, was mediocre, even PF Chang beats it big-time. We had many main dishes, like the short rib, the fish, and the steak. All are a mistake, when compared to what this place is supposed to deliver. . . But I do feel long-term that they will get it right and be a far more tasty as well as elegant restaurant in the Lower Downtown area."
OpenTable Diner,"Dined on April 28, 2022",5,Ariel (our bartender) and Lilly were BOTH amazing! The food~delicious!!!
winwithbernice,"Dined on April 28, 2022",5,"I celebrated my birthday here with my family and all 8 of us said 10 out of 10. First of all it’s a VIBE so show out dress up and show out! Second of all the service is top tier. Shout out to the staff. Shout out to Angel. They make you feel like you are spending millions with them. They literally wait on you you don’t have to ask they catch your vibe and they rock with you. I love it here and they were short staffed and still made us feel like we were the only ones in the restaurant and they never skipped a beat. TOP TIER!!! The drinks are strong but you don’t know it until you finish it and you leaning. The food was so good we didn’t eat it all because when I say somebody Black auntie with the seasoning is in the back chef-in it up! We are Haitian and we love seasoned food and even my Haitian mother was going off. This food is ABSOLUTELY amazing and fresh. IYKYK The flavor combos and the dish inspirations. Muah *Chef’s kiss* I ate a portion of my food purposely saving it to go home and demolish it which I did. Amazing time, amazing staff, amazing food, vibes all that. You better believe I will be back time and time again. This is my new go to solo or with my family it’s always Brooklyn Chop House. Period."
OpenTable Diner,"Dined on April 27, 2022",5,That chicken fried rice???!!! Omg
OpenTable Diner,"Dined on April 26, 2022",5,"We had Alex as our Food Connoisseur/ Host/ Waiter… He was absolutely AMAZING , KIND , PATIENT!!! . He suggested all of his favorite things and also gave us a full detail of basically everything that we were interested in… from the drinks , the juiciest steaks down to seasoning and the sauces…. Best Service hands down !!!! The food !!!! The food was EXCEPTIONAL thanks to Alex giving his take on the best way to order  .. I didn’t drink because I’m pregnant but my friends had the BEST time !!! Everything just looked SOOOOO good , tastes were so good and the VIBE was dope !!!!!!!! Thank you … THANK YOU !!!!!!"
OpenTable Diner,"Dined on April 25, 2022",5,This place was absolutely amazing.. the food is out of this world good.. the drinks are great and the music and atmosphere is a real vibe.. I wish they had a Brooklyn Chop House back home 🥰
OpenTable Diner,"Dined on April 25, 2022",4,Our waitress was very nice.
CherylC,"Dined on April 25, 2022",5,Great customer service and tasty food
SheilaP,"Dined on April 25, 2022",5,I enjoyed my visit. The food and drinks was great and the service was exceptional.
OpenTable Diner,"Dined on April 24, 2022",4,"Setting Beautiful, service was great, food could have been better, didn’t like the crab fried rice. Drinks were good. Had the mushrooms were terrific, along with the rest of the veggies. Salmon was good. Overall very decent. And was lucky to get a space to park in front of the restaurant was clutch."
MichaelJ,"Dined on April 23, 2022",5,Birthday was beautiful
Meeks,"Dined on April 22, 2022",5,It was a beautiful setting. I suggested B.C.H for the celebration and im glad i did.
